SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
162,13,000,47980,00000,00000,0,A,Lumpkin city,Georgia,967,962,972
162,13,000,48008,00000,00000,0,A,Luthersville city,Georgia,773,774,779
162,13,000,48092,00000,00000,0,A,Lyerly town,Georgia,453,452,452
162,13,000,48232,00000,00000,0,A,Lyons city,Georgia,4244,4247,4211
162,13,000,48428,00000,00000,0,A,McCaysville city,Georgia,1151,1154,1171
162,13,000,48624,00000,00000,0,A,McDonough city,Georgia,29182,29448,30356
162,13,000,48848,00000,00000,0,A,McIntyre town,Georgia,571,568,568
162,13,000,49008,00000,00000,0,A,Macon-Bibb County,Georgia,157346,157104,156762
162,13,000,49100,00000,00000,0,A,McRae-Helena city,Georgia,5943,5933,5903
162,13,000,49196,00000,00000,0,A,Madison city,Georgia,4421,4427,4894
162,13,000,49504,00000,00000,0,A,Manassas city,Georgia,58,58,58
162,13,000,49532,00000,00000,0,A,Manchester city,Georgia,3571,3563,3563
162,13,000,49616,00000,00000,0,A,Mansfield city,Georgia,442,444,453
162,13,000,49756,00000,00000,0,A,Marietta city,Georgia,60969,60940,61497
162,13,000,49924,00000,00000,0,A,Marshallville city,Georgia,1067,1060,1053
162,13,000,50008,00000,00000,0,A,Martin town,Georgia,338,338,339
162,13,000,50260,00000,00000,0,A,Maxeys town,Georgia,197,197,201
162,13,000,50484,00000,00000,0,A,Maysville town,Georgia,1869,1883,1965
162,13,000,50596,00000,00000,0,A,Meansville city,Georgia,264,263,270
162,13,000,50680,00000,00000,0,A,Meigs city,Georgia,924,923,927
162,13,000,50848,00000,00000,0,A,Menlo city,Georgia,481,480,480
162,13,000,51072,00000,00000,0,A,Metter city,Georgia,3980,3987,3994
162,13,000,51240,00000,00000,0,A,Midville city,Georgia,385,385,380
162,13,000,51352,00000,00000,0,A,Midway city,Georgia,2167,2154,2190
162,13,000,51408,00000,00000,0,A,Milan city,Georgia,637,634,631
162,13,000,51492,00000,00000,0,A,Milledgeville city,Georgia,17256,17228,17165
162,13,000,51520,00000,00000,0,A,Millen city,Georgia,2964,2955,2934
162,13,000,51604,00000,00000,0,A,Milner city,Georgia,768,768,776
162,13,000,51670,00000,00000,0,A,Milton city,Georgia,41318,41401,41259
162,13,000,51968,00000,00000,0,A,Mitchell town,Georgia,151,151,153
162,13,000,52108,00000,00000,0,A,Molena city,Georgia,390,392,403
162,13,000,52192,00000,00000,0,A,Monroe city,Georgia,14901,14965,15264
162,13,000,52304,00000,00000,0,A,Montezuma city,Georgia,3115,3096,3076
162,13,000,52416,00000,00000,0,A,Monticello city,Georgia,2532,2540,2645
162,13,000,52500,00000,00000,0,A,Montrose town,Georgia,200,200,199
162,13,000,52668,00000,00000,0,A,Moreland town,Georgia,380,379,386
162,13,000,52696,00000,00000,0,A,Morgan city,Georgia,1578,1577,1576
162,13,000,52724,00000,00000,0,A,Morganton city,Georgia,288,289,294
162,13,000,53004,00000,00000,0,A,Morrow city,Georgia,6631,6614,6553
162,13,000,53032,00000,00000,0,A,Morven city,Georgia,517,516,519
162,13,000,53060,00000,00000,0,A,Moultrie city,Georgia,14740,14721,14587
162,13,000,53116,00000,00000,0,A,Mountain City town,Georgia,905,906,927
162,13,000,53172,00000,00000,0,A,Mountain Park city,Georgia,587,587,579
162,13,000,53284,00000,00000,0,A,Mount Airy town,Georgia,1411,1410,1435
162,13,000,53508,00000,00000,0,A,Mount Vernon city,Georgia,1985,1977,1993
162,13,000,53620,00000,00000,0,A,Mount Zion city,Georgia,1759,1775,1894
162,13,000,54124,00000,00000,0,A,Nahunta city,Georgia,1000,1008,1004
162,13,000,54264,00000,00000,0,A,Nashville city,Georgia,4917,4908,4869
162,13,000,54572,00000,00000,0,A,Nelson city,Georgia,1149,1153,1164
162,13,000,54656,00000,00000,0,A,Newborn town,Georgia,677,679,697
162,13,000,54992,00000,00000,0,A,Newington town,Georgia,286,285,287
162,13,000,55020,00000,00000,0,A,Newnan city,Georgia,42383,42673,43298
162,13,000,55244,00000,00000,0,A,Newton city,Georgia,599,592,588
162,13,000,55440,00000,00000,0,A,Nicholls city,Georgia,3197,3195,3205
162,13,000,55468,00000,00000,0,A,Nicholson city,Georgia,1811,1820,1853
162,13,000,55776,00000,00000,0,A,Norcross city,Georgia,17227,17553,17642
162,13,000,55860,00000,00000,0,A,Norman Park city,Georgia,959,960,960
162,13,000,56308,00000,00000,0,A,North High Shoals town,Georgia,553,554,557
162,13,000,56560,00000,00000,0,A,Norwood city,Georgia,205,205,206
162,13,000,56644,00000,00000,0,A,Nunez city,Georgia,133,133,132
