geographic_area,april_2020_base_estimate,population_2020,population_2021,percent_change
"Dunwoody, Georgia",51629,51539,50901,-1.2378975145035798
"Bainbridge, Georgia",14488,14474,14292,-1.2574271106812216
"Sparta, Georgia",1352,1349,1332,-1.2601927353595257
"Decatur, Georgia",24937,24883,24569,-1.2619057187638145
"Washington, Georgia",3761,3752,3704,-1.279317697228145
"Lakeland, Georgia",2794,2798,2762,-1.2866333095067906
"Chamblee, Georgia",30133,30174,29781,-1.3024458142771924
"Unadilla, Georgia",2895,2885,2847,-1.317157712305026
"Edison, Georgia",1274,1271,1254,-1.3375295043273014
"Lithonia, Georgia",2665,2657,2621,-1.3549115543846444
"Cuthbert, Georgia",3162,3137,3091,-1.4663691424928276
"Cairo, Georgia",10181,10168,10015,-1.504720692368214
"Buena Vista, Georgia",1523,1526,1502,-1.5727391874180863
"Avondale Estates, Georgia",3562,3553,3496,-1.6042780748663104
"Remerton, Georgia",1332,1325,1302,-1.7358490566037734
"Arlington, Georgia",1251,1247,1225,-1.7642341619887731
"Waynesboro, Georgia",5806,5802,5688,-1.9648397104446742
"Sandersville, Georgia",5805,5770,5654,-2.0103986135181975
"Dawson, Georgia",4423,4407,4317,-2.042205582028591
"Ellaville, Georgia",1591,1586,1553,-2.080706179066835
"Blakely, Georgia",5392,5367,5252,-2.1427240544065587
"Vienna, Georgia",3016,2996,2912,-2.803738317757009
"Cusseta-Chattahoochee County unified government, Georgia",9565,9482,9048,-4.577093440202489
