geographic_area,april_2020_base_estimate,population_2020,population_2021
"Stonecrest city, Georgia",59148,59181,59863
"Stone Mountain city, Georgia",6701,6688,6614
"Sugar Hill city, Georgia",25093,25139,25259
"Summertown city, Georgia",118,118,118
"Summerville city, Georgia",4424,4413,4400
"Sumner town, Georgia",439,438,435
"Sunny Side city, Georgia",204,203,204
"Surrency town, Georgia",195,195,195
"Suwanee city, Georgia",20776,20968,21918
"Swainsboro city, Georgia",7462,7450,7438
"Sycamore city, Georgia",764,762,764
"Sylvania city, Georgia",2662,2659,2661
"Sylvester city, Georgia",5634,5611,5549
"Talbotton city, Georgia",739,738,740
"Talking Rock town, Georgia",90,90,91
"Tallapoosa city, Georgia",3219,3221,3247
"Tallulah Falls town, Georgia",195,195,198
"Talmo town, Georgia",277,278,282
"Tarrytown town, Georgia",64,64,64
"Taylorsville town, Georgia",248,251,253
"Temple city, Georgia",5068,5126,5623
"Tennille city, Georgia",1472,1506,1662
"Thomaston city, Georgia",9853,9842,9761
"Thomasville city, Georgia",18912,18898,18867
"Thomson city, Georgia",6885,6867,6873
"Thunderbolt town, Georgia",2562,2553,2533
"Tifton city, Georgia",17205,17240,17235
"Tiger town, Georgia",483,482,486
"Tignall town, Georgia",485,487,486
"Toccoa city, Georgia",9152,9158,9188
"Toomsboro city, Georgia",404,403,401
"Trenton city, Georgia",2179,2178,2201
"Trion town, Georgia",1966,1960,1963
"Tucker city, Georgia",36989,37002,36855
"Tunnel Hill city, Georgia",965,963,964
"Turin town, Georgia",350,367,467
"Twin City city, Georgia",1689,1687,1685
"Tybee Island city, Georgia",3113,3107,3091
"Tyrone town, Georgia",7674,7718,7817
"Ty Ty city, Georgia",628,626,624
"Unadilla city, Georgia",2895,2885,2847
"Union City city, Georgia",26839,27047,27359
"Union Point city, Georgia",1615,1626,1677
"Uvalda city, Georgia",442,439,442
"Valdosta city, Georgia",55485,55468,55567
"Varnell city, Georgia",2180,2176,2179
"Vernonburg town, Georgia",136,136,137
"Vidalia city, Georgia",10761,10764,10710
"Vidette city, Georgia",103,103,101
"Vienna city, Georgia",3016,2996,2912
"Villa Rica city, Georgia",16932,17099,17830
"Waco city, Georgia",530,530,539
"Wadley city, Georgia",1643,1638,1622
"Waleska city, Georgia",728,728,734
"Walnut Grove city, Georgia",1324,1324,1347
"Walthourville city, Georgia",3734,3715,3788
"Warm Springs city, Georgia",536,536,534
"Warner Robins city, Georgia",80324,80494,81446
"Warrenton city, Georgia",1737,1733,1737
"Warwick city, Georgia",504,502,499
"Washington city, Georgia",3761,3752,3704
"Watkinsville city, Georgia",2898,2905,2937
"Waverly Hall town, Georgia",608,612,622
"Waycross city, Georgia",13915,13889,13759
"Waynesboro city, Georgia",5806,5802,5688
"Webster County unified government, Georgia",2348,2350,2367
"West Point city, Georgia",3753,3746,3748
"Whigham city, Georgia",427,426,423
"White city, Georgia",660,659,660
"White Plains city, Georgia",243,245,252
"Whitesburg city, Georgia",596,596,601
"Willacoochee city, Georgia",1237,1239,1255
"Williamson city, Georgia",684,686,706
"Winder city, Georgia",18209,18266,18825
"Winterville city, Georgia",1198,1196,1198
"Woodbine city, Georgia",1068,1068,1068
"Woodbury city, Georgia",903,902,905
"Woodland city, Georgia",303,302,302
"Woodstock city, Georgia",34985,35105,36198
"Woodville city, Georgia",264,267,276
"Woolsey town, Georgia",206,206,206
"Wrens city, Georgia",2212,2204,2180
"Wrightsville city, Georgia",3322,3315,3309
"Yatesville town, Georgia",392,392,389
"Young Harris city, Georgia",1319,1320,1327
"Zebulon city, Georgia",1219,1222,1255
