STATION,NAME,year,month,day,DAPR,DASF,MDPR,MDSF,PRCP,SN02,SN32,SNOW,SNWD,SX02,SX32,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT14,WT16,WT18
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
